"business_id","stars_y","sentiment_score","food","drink","price","service","ambience","name","is_open","stars_x","time"
"-0M0b-XhtFagyLmsBtOe8w",3.72222222222222,0.839427777777778,5,5,3,4,5,"Paris Wine Bar",1,3.5,326.279761904762
"-2-ih3mE8KPyeKVIzpBfPQ",3.55357142857143,0.867644642857143,4,5,4,4,5,"SkyGarten",1,3.5,125.005952380952
"-2YMhP8_C663edoASI8X4A",4.35294117647059,0.781194117647059,5,4,4,4,4,"Indian Nosh",1,4.5,32.4285714285714
"-3e1QV2EBGgnvO-JiQaKfg",3.4,0.55208,4,4,3,4,4,"Gavin's Tavern",1,3.5,249.428571428571
"-4HMjEGQgduIMMTe0WPQBA",3.66666666666667,0.636937096774194,4,4,3,4,4,"The Trocadero Theatre",1,3.5,671
"-6nQZ-QCkAyNHdtaxOxDpQ",4.04651162790698,0.725131395348837,4,4,4,4,4,"Bimini Juice Bar & Salad Bar",1,4,213.142857142857
"-7GDqSUaXrpC8Ql7nDBxWA",4.22105263157895,0.82833052631579,5,4,4,4,5,"B2 Bluefin",1,4,206
"-8_ufROuDzIWxFAny4FasQ",3.6875,0.6169625,4,4,3,4,4,"Aneu Kitchen and Juciery",1,3.5,190.279761904762
"-9CvbWc-vPYsoioAgZii4Q",3.47058823529412,0.767682352941176,5,4,4,4,5,"Bocca",1,3.5,153.142857142857
"-AbzJTLQdbdQrhRzQLgsKA",3.64285714285714,0.833914285714286,5,5,4,4,5,"Kingyo",1,3.5,58.1428571428571
"-b8iNhBez0hRu478nIDhyg",3.34090909090909,0.903625,5,5,4,4,5,"Swift Half",1,3.5,94.8571428571429
"-BjXcRcvDqOQ23eUKx6hjg",4.45748987854251,0.838155060728745,5,5,4,4,5,"Brew",1,4.5,471.142857142857
"-i9AaoasqTUb7WmCSftmKQ",3.8961038961039,0.799520779220779,5,5,4,4,4,"The Borough Brewhouse",1,4,145.14880952381
"-sSGKR1V1oBm7BJicIXozg",2.80769230769231,0.663342307692308,4,4,4,4,4,"Barra Rossa Ristorante & Wine Bar - Downington",1,3,128.434523809524
"-sTrihdzACrsOSu1FYdfxQ",4.25274725274725,0.84804652014652,5,5,4,4,5,"The Rooster",1,4.5,176.85119047619
"-tQ0lqgfY8i5avBVyUMYWw",4,0.767151724137931,4,5,4,4,4,"Chatime",1,4,39
"-Wg-4lsLfS3etcFDz6GPpw",2.94285714285714,0.709037142857143,5,4,4,4,4,"The Pub by Wegmans",1,3,194.279761904762
"-yxOY_fhwp4uss-8rGTGcA",4.2,0.53428,4,4,3,3,4,"Cookie's Bar",1,4,401
"_-qMwuEFcz_karr9xRxKYw",4.35294117647059,0.877894117647059,4,5,4,4,5,"Ashes Cigars",1,4.5,142.571428571429
"_5_x1-g7vMxag8fPNJT_3A",2.73076923076923,0.506596153846154,4,4,3,4,4,"Village Wine Cellar Wine Bar and Bistro",1,2.5,199.571428571429
"_5h3U4VntrDCbdatPykUgg",3.40540540540541,0.751818918918919,4,4,3,4,4,"Baker's American Bar & Grille",1,3.5,115.571428571429
"_5YKKrnxZ60H_VqtX3k-jw",2.59090909090909,0.629445454545455,4,4,4,4,4,"Philly Pub 'n Grub",1,2.5,145.428571428571
"_8Wq8lh2uJoMTftYtNAC3w",2.66666666666667,0.488022222222222,4,4,3,4,4,"Saige Cafe",1,2.5,75
"_9JumTIHEQgTV9-gGe_TWg",3.07142857142857,0.666417857142857,4,4,3,4,4,"Sligo",1,3,61.5714285714286
"_aVKCDf7P8iHVKiZnsuCiw",2.875,0.5457875,4,4,2,3,4,"Nineteen 19 Bar & Grill",1,3,105.285714285714
"_bMDogzkRWe8nlV5lIDf1Q",2.41176470588235,0.42865,4,3,3,4,4,"Sweat Fitness & Frames",1,2.5,83.2857142857143
"_fCZygoS6pVI6AXxA0eYYQ",3.15909090909091,0.711726704545455,5,4,4,4,4,"B.GOOD",1,3,224.577380952381
"_GOQVrQcRlLsNk-RbpO7oQ",2.375,0.40256875,3,4,3,3,4,"Vanity Grand Cabaret",1,2.5,232.714285714286
"_IwRR4rW56uEn8BU9tMNjg",4.27777777777778,0.923516666666667,5,5,4,4,5,"Wakita of Japan",1,4.5,165.285714285714
"_IXUNAiZJYo_MbtiJGsWCw",3.4375,0.66698125,4,4,4,4,4,"Tulip Hookah Cafe",1,3.5,405.142857142857
"_j8ZAA7ss7Z6Yyk2waCcfQ",3.67647058823529,0.773169117647059,5,4,4,4,4,"Eagle Tavern & Taproom",1,3.5,107.285714285714
"_LOJW0XkOpj4O348GVRDeQ",4.17824074074074,0.876891319444444,5,5,4,4,5,"Zavino",1,4,569.285714285714
"_s_51Vmq1LVQnGFSa-KfUw",3.61229314420804,0.818895744680851,5,5,4,4,4,"Alla Spina",1,3.5,310.428571428571
"_xp9OJa-ObEMFrsLvjNWAg",3.35593220338983,0.603405084745763,4,4,3,3,4,"Nigiyaka Na",1,3.5,242.428571428571
"04vmwMgr5bmT8tGokHrLEg",4.66666666666667,0.9093375,5,5,4,4,5,"The Wander Inn",1,4.5,77.5773809523809
"05J_7mQg7dPuaSB_BBYEOQ",4.66666666666667,0.864385416666667,5,5,4,4,5,"Gin & Pop",1,4.5,56.2857142857143
"0IKbUmLM8pWn9t-Epf19iQ",3.27611940298507,0.649160447761194,4,4,3,4,4,"A J Stephens Crabhouse & Bar",1,3.5,169.714285714286
"0iwixPVSjrJeJSoUC8Lsnw",3.72395833333333,0.774125,5,4,4,4,4,"The Lucky Dog Gastropub",1,3.5,331.285714285714
"0lFkJT6DqT3eMnpW9gP_bw",3,0.720473170731707,4,4,3,4,4,"Liberties",1,3,390.577380952381
"0LLqluhzWOkz2H0GmSY_Sg",2.4,0.56444,4,4,3,4,4,"Moda",1,2.5,75.4285714285714
"0R2yKDNMUztQwgo8pG4z-Q",3.60542168674699,0.852571686746988,5,5,4,4,5,"Triumph Brewing Company",1,3.5,441.005952380952
"0R3SRPEYpqoUi3kq5ZsELw",4.51851851851852,0.85827037037037,5,5,4,4,4,"SuVege",1,4.5,19.4345238095238
"0sb5sHF_BNcUzDxuia-D1w",3.85763888888889,0.877969444444444,5,5,4,4,5,"Resurrection Ale House",1,4,265.142857142857
